benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
max4,-,-,-,-,-,-,-,-,-,-
max2,2,6,0.11,12,0.07,9,1.03,0.53,0.04,1.20
diff,4,19,16.12,40,0.79,26,117.00,33.37,0.35,133.92
max3,4,14,6.23,31,2.47,22,82.43,39.60,0.45,91.13
array_search_2,4,16,10.60,32,1.77,21,49.03,15.53,0.53,61.41
diff_twice,-,-,-,-,-,-,-,-,-,-
array_search_3,-,-,-,-,-,-,-,-,-,-
abs2,-,-,-,-,-,-,-,-,-,-
abs3,1,22,9.37,23,1.76,3,1.84,1.21,1.52,12.96
abs1,3,7,0.74,20,1.07,17,12.64,3.83,0.25,14.45
