benchmark_name,num_conjunct,num_synth_call,time_synth_call,num_soundness_call,time_soundness_call,num_precision_call,time_precision_call,time_last_call,time_last_iter,time_total
max4,-,-,-,-,-,-,-,-,-,-
max2,2,6,0.12,12,0.07,9,1.09,0.57,0.04,1.28
diff,3,21,124.22,44,1.83,27,231.77,102.59,0.58,357.82
max3,5,17,10.40,39,3.21,28,138.54,60.62,0.49,152.15
array_search_2,4,14,9.83,34,2.34,25,57.32,16.68,0.57,69.49
diff_twice,-,-,-,-,-,-,-,-,-,-
array_search_3,-,-,-,-,-,-,-,-,-,-
abs2,-,-,-,-,-,-,-,-,-,-
abs3,1,22,9.77,23,1.61,3,1.92,1.14,1.50,13.30
abs1,3,7,1.11,18,1.13,15,13.78,5.75,0.38,16.02
